DATASET_MULTIBAR

SEPARATOR TAB

DATASET_LABEL	NCR motif

COLOR	#ff0000

WIDTH	400

MARGIN	50

SHOW_INTERNAL	0

HEIGHT_FACTOR	1.6

BAR_SHIFT	0
DATASET_SCALE	20-20 NCRs-#6aa84f-1-0-8	82-82 NCRs-#ff0000-1-1-8


ALIGN_FIELDS	0
FIELD_LABELS	Motif 4C	Motif 6C	Motif 8C
MsNCR_cluster18055	1	5	0
MsNCR_cluster18607	4	19	0
MsNCR_cluster19278	1	4	0
MsNCR_cluster20927	9	0	0
MsNCR_cluster20968	1	3	0
MsNCR_cluster21485	13	0	0
MsNCR_cluster21943	1	4	0
MsNCR_cluster2209	0	3	0
MsNCR_cluster22137	5	0	0
MsNCR_cluster2218	4	17	0
MsNCR_cluster22309	2	19	0
MsNCR_cluster22625	8	0	0
MsNCR_cluster22659	7	1	0
MsNCR_cluster22974	5	0	0
MsNCR_cluster22982	0	3	0
MsNCR_cluster23199	0	8	0
MsNCR_cluster23314	20	3	0
MsNCR_cluster23349	0	6	0
MsNCR_cluster23764	2	8	0
MsNCR_cluster23812	7	0	0
MsNCR_cluster24015	0	6	0
MsNCR_cluster24094	5	0	0
MsNCR_cluster24102	6	0	0
MsNCR_cluster24212	1	3	0
MsNCR_cluster24478	13	0	0
MsNCR_cluster25461	0	4	0
MsNCR_cluster26170	1	4	0
MsNCR_cluster26485	6	1	0
MsNCR_cluster26517	0	5	0
MsNCR_cluster26545	25	0	0
MsNCR_cluster26661	0	12	0
MsNCR_cluster27001	8	0	0
MsNCR_cluster27698	2	6	0
MsNCR_cluster28101	4	1	0
MsNCR_cluster28159	3	11	0
MsNCR_cluster28495	0	5	0
MsNCR_cluster28737	0	7	0
MsNCR_cluster28997	3	0	0
MsNCR_cluster29039	4	0	0
MsNCR_cluster29058	5	0	0
MsNCR_cluster29209	0	6	0
MsNCR_cluster29334	10	1	0
MsNCR_cluster29698	18	3	0
MsNCR_cluster30071	6	0	0
MsNCR_cluster30202	14	0	0
MsNCR_cluster30305	21	1	0
MsNCR_cluster30391	0	4	0
MsNCR_cluster3095	0	9	0
MsNCR_cluster31201	3	0	0
MsNCR_cluster31382	10	1	0
MsNCR_cluster31617	10	1	0
MsNCR_cluster31883	8	0	0
MsNCR_cluster32966	0	14	0
MsNCR_cluster33266	0	4	0
MsNCR_cluster33574	0	2	0
MsNCR_cluster33768	3	0	0
MsNCR_cluster34653	7	0	0
MsNCR_cluster34666	8	1	0
MsNCR_cluster34863	0	4	0
MsNCR_cluster34869	3	0	0
MsNCR_cluster35314	3	9	0
MsNCR_cluster35644	0	4	0
MsNCR_cluster36247	4	0	0
MsNCR_cluster36391	1	4	1
MsNCR_cluster36444	0	5	0
MsNCR_cluster3648	5	9	0
MsNCR_cluster36589	4	1	0
MsNCR_cluster36898	17	0	0
MsNCR_cluster36951	4	0	0
MsNCR_cluster37117	1	5	0
MsNCR_cluster37145	12	2	0
MsNCR_cluster3720	1	10	0
MsNCR_cluster37414	2	4	0
MsNCR_cluster37445	0	2	0
MsNCR_cluster37479	6	0	0
MsNCR_cluster37520	6	3	0
MsNCR_cluster37569	0	3	0
MsNCR_cluster38049	5	0	0
MsNCR_cluster38051	7	0	0
MsNCR_cluster38751	12	0	0
MsNCR_cluster39219	0	6	0
MsNCR_cluster39250	0	4	0
MsNCR_cluster39549	0	6	0
MsNCR_cluster39552	2	3	0
MsNCR_cluster39624	1	3	0
MsNCR_cluster40932_sing	6	0	0
MsNCR_cluster40952	0	4	0
MsNCR_cluster41097	1	4	0
MsNCR_cluster43351	3	0	0
MsNCR_cluster43641_sing	0	2	0
MsNCR_cluster45606	1	3	0
MsNCR_cluster45616	2	2	0
MsNCR_cluster47393	1	3	0
MsNCR_cluster47568	0	3	0
MsNCR_cluster47613	6	0	0
MsNCR_cluster48223	3	0	0
MsNCR_cluster48482	0	10	0
MsNCR_cluster48899	3	0	0
MsNCR_cluster49327	22	0	0
MsNCR_cluster4953	2	16	0
MsNCR_cluster49684	3	0	0
MsNCR_cluster50779	1	1	0
MsNCR_cluster50827	0	2	0
MsNCR_cluster50916	8	0	0
MsNCR_cluster51433	5	0	0
MsNCR_cluster51446	0	5	0
MsNCR_cluster51597	6	0	0
MsNCR_cluster51802	5	2	0
MsNCR_cluster51973	0	3	0
MsNCR_cluster51994	0	3	0
MsNCR_cluster52022	0	3	0
MsNCR_cluster5202	1	13	0
MsNCR_cluster52112	0	3	0
MsNCR_cluster52116	0	4	0
MsNCR_cluster52221	3	1	0
MsNCR_cluster52253	0	3	0
MsNCR_cluster52269	4	0	0
MsNCR_cluster52725	4	0	0
MsNCR_cluster52831	7	0	0
MsNCR_cluster52946	1	2	0
MsNCR_cluster54357	0	3	0
MsNCR_cluster55131	0	3	0
MsNCR_cluster55489	1	1	0
MsNCR_cluster56008	0	3	0
MsNCR_cluster5804	4	0	0
MsNCR_cluster5830	4	0	0
MsNCR_Cluster6251	0	4	0
MsNCR_Cluster6882	2	10	0
MsNCR_cluster800	20	2	0
MsNCR_cluster9294	11	2	0
MsNCR_cluster9321	1	6	0
MtNCR067_cluster4973	13	0	0
MtNCR116_cluster23280	0	5	0
MtNCR118_cluster16241	4	3	0
MtNCR119a_cluster22925	10	0	0
MtNCR11_cluster17260	5	2	0
MtNCR126_cluster22779	7	1	0
MtNCR129_cluster29287	9	1	1
MtNCR133_cluster51311	0	4	0
MtNCR141_cluster50805	0	2	0
MtNCR144_cluster18099	21	1	0
MtNCR149_cluster23706	16	1	0
MtNCR152_cluster17022	9	0	0
MtNCR175_cluster10366	7	0	0
MtNCR177_cluster11647	3	1	0
MtNCR200_cluster12251	3	16	0
MtNCR208_cluster40851	0	3	0
MtNCR215b_cluster22453	1	13	0
MtNCR225_cluster16243	3	0	0
MtNCR235_cluster31198	0	4	0
MtNCR23_cluster42951	1	4	0
MtNCR244_cluster17171	3	8	0
MtNCR25_cluster37911	3	0	0
MtNCR261_cluster50860	2	0	0
MtNCR297_cluster16949	6	0	0
MtNCR29_cluster45018	2	1	1
MtNCR305b_cluster35987_sing	2	0	0
MtNCR310_cluster49388	2	6	0
MtNCR321_cluster11386	11	1	0
MtNCR336_cluster2621	0	23	0
MtNCR345_cluster40951	2	0	0
MtNCR357_cluster18450	15	0	0
MtNCR361_cluster28583	9	0	0
MtNCR365_cluster37113	6	0	0
MtNCR376_cluster24157	4	0	0
MtNCR379_cluster31770	2	5	0
MtNCR383_cluster27455	0	5	0
MtNCR386_cluster20675	2	6	0
MtNCR387_cluster49292	7	2	0
MtNCR405_cluster23219	1	0	0
MtNCR411_cluster36263	0	4	0
MtNCR423_cluster33629	0	3	0
MtNCR429_cluster51837	6	0	0
MtNCR432_cluster36448	4	1	0
MtNCR434_cluster37419	6	0	0
MtNCR440_cluster40947	0	2	0
MtNCR444_cluster29383	6	2	0
MtNCR447_cluster42177	11	0	0
MtNCR460_cluster37176	0	3	0
MtNCR477_cluster40949	0	5	0
MtNCR48_cluster37403	3	0	0
MtNCR490_cluster23780	8	1	0
MtNCR498_cluster23094	7	0	0
MtNCR527_cluster29222_sing	0	3	0
MtNCR52_cluster28804	16	1	0
MtNCR535_cluster35071	1	7	0
MtNCR538_cluster28419	5	2	0
MtNCR539_cluster52415	5	0	0
MtNCR540_cluster24066	11	3	0
MtNCR541_cluster19590	4	14	0
MtNCR549_cluster25322	1	17	0
MtNCR554_cluster7386	3	14	0
MtNCR564_cluster28114	1	5	0
MtNCR570_cluster24450	0	7	0
MtNCR573_cluster50756	0	2	0
MtNCR577_cluster22040	0	7	0
MtNCR587_cluster24039	1	0	0
MtNCR5_cluster29687	9	0	0
MtNCR611_cluster29571_sing	3	0	0
MtNCR62_cluster15127	15	9	0
MtNCR63_cluster25930	25	0	0
MtNCR640_cluster17146	4	0	0
MtNCR642_cluster31376	0	4	0
MtNCR643_cluster30566	8	2	0
MtNCR645_cluster16376	1	8	0
MtNCR647_cluster26866	8	0	0
MtNCR649_cluster21127	7	0	0
MtNCR654_cluster29016	8	0	0
MtNCR65_cluster34742	0	6	0
MtNCR660_cluster26661	0	12	0
MtNCR670_cluster52576	8	0	0
MtNCR683_cluster37523	4	0	0
MtNCR685_cluster18614	0	6	0
MtNCR701_cluster51485	0	3	0
MtNCR705_cluster50849	6	1	0
MtNCR723_cluster11778	14	0	0
MtNCR725_cluster52625	0	2	0
MtNCR728_cluster27085	4	0	0
MtNCR737_cluster41062	1	2	0
MtNCR73_cluster50853	3	0	0
MtNCR78_cluster23778	5	0	0
MtNCR80_cluster51242	5	0	0
MtNCR88_cluster34103	7	0	0
MtNCR8_cluster2111	11	1	0
MtNCR90_cluster35852	8	1	0
MtNCR92_cluster34566	5	0	0
MtNCR95_cluster22648	7	0	0
MtNCR98_cluster29062	2	14	0
MtNCRnew11_cluster19372	1	10	0
MtNCRnew12_cluster35318	0	4	0
MtNCRnew16_cluster26140	0	4	0
MtNCRnew20_Cluster6458	0	9	0
MtNCRnew21_cluster21235	1	6	0
MtNCRnew26_cluster29895	1	9	0
MtNCRnew34_cluster44969	3	0	0
MtNCRnew36_cluster47574	0	5	0
MtNCRnew37_cluster2923	0	21	0
MtNCRnew38_cluster29649	7	0	0
MtNCRnew39_cluster11553	2	5	0
MtNCRnew40_cluster23529	9	0	0
MtNCRnew48_cluster15580	16	2	0
MtNCRnew50_cluster51094	5	0	0
MtNCRnew53_cluster29672	0	5	0
MtNCRnew61_cluster37684	5	0	0
MtNCRnew68_cluster52633	12	2	0
MtNCRnew69_cluster28872	9	2	0
MtNCRnew85_cluster33109	8	1	0
pdb103	4	0	0
pdb11543	5	4	0
pdb11767	5	11	0
pdb12150	2	5	0
pdb13459	4	14	0
pdb13923	7	24	0
pdb16743	3	9	0
pdb17078	9	1	0
pdb17801	0	4	0
pdb18451	1	16	0
pdb18523	1	15	0
pdb18944	1	14	1
pdb20626	0	2	1
pdb22607	4	2	0
pdb23177	5	0	0
pdb24940	11	0	0
pdb27372	1	4	0
pdb29397	2	0	0
pdb29484	0	5	0
pdb35303	0	5	0
pdb41077	1	3	0
pdb41133	1	1	0
pdb51216	4	0	0
pdb51670	1	0	0
pdb51752	0	5	0
pdb52040	1	3	1
pdb55957	0	8	0
PsNCR03_cluster41932	0	6	0
PsNCR101_cluster42876	1	0	0
PsNCR108_cluster42785	3	0	0
PsNCR118_cluster42871	0	10	0
PsNCR11_cluster3649	0	8	0
PsNCR120_cluster41484	4	0	0
PsNCR126_cluster18297	1	7	0
PsNCR127_cluster928	0	30	0
PsNCR14_cluster42735	0	5	0
PsNCR150_cluster12410	15	1	0
PsNCR154_cluster19428	0	8	0
PsNCR156_cluster18581	5	11	0
PsNCR157_cluster34654	7	12	0
PsNCR158_cluster33014	0	6	0
PsNCR159_cluster34635	1	6	0
PsNCR161_cluster17830	0	9	0
PsNCR162_cluster24548	1	6	1
PsNCR164_cluster45286	1	7	0
PsNCR166_cluster41193	3	0	0
PsNCR171_cluster32960	0	5	0
PsNCR178_cluster41218	0	6	0
PsNCR179_cluster12885	3	9	0
PsNCR17_cluster23667	3	20	0
PsNCR18_cluster2791	12	0	0
PsNCR190_cluster32589	0	6	0
PsNCR193_cluster7769	6	16	0
PsNCR195_cluster41703_sing	0	1	0
PsNCR201_cluster18799	0	6	0
PsNCR219_cluster41196	0	3	0
PsNCR225_cluster1457	10	48	0
PsNCR228_cluster15179	3	9	0
PsNCR229_cluster22226	0	6	0
PsNCR22_cluster29088	0	13	0
PsNCR236_cluster41409_sing	0	1	0
PsNCR241_cluster42743	0	2	0
PsNCR245_cluster41461	3	1	0
PsNCR249_cluster41648	0	4	0
PsNCR252_cluster41202	0	3	0
PsNCR259_cluster16951	2	8	0
PsNCR26_cluster14970	9	3	0
PsNCR278_cluster41407	0	4	0
PsNCR282_cluster41129	0	3	0
PsNCR294_cluster24914	3	12	0
PsNCR300_cluster1829	0	25	0
PsNCR301_cluster4255	0	9	0
PsNCR306_cluster18368	2	5	0
PsNCR308_cluster1759	4	9	0
PsNCR30_cluster32358	1	4	0
PsNCR311_cluster41214	4	0	0
PsNCR316_cluster31963	4	1	0
PsNCR318_cluster41648	0	4	0
PsNCR31_cluster41726	2	1	0
PsNCR323_cluster769	1	18	0
PsNCR32_cluster25868	1	8	0
PsNCR334_cluster19510	8	3	0
PsNCR335_Cluster6897	2	11	0
PsNCR341_cluster2527	15	1	0
PsNCR351_cluster37653	18	2	0
PsNCR35_cluster5063	9	35	1
PsNCR53_cluster18580	3	26	0
PsNCR59_cluster41876	5	0	0
PsNCR60_cluster41992	4	0	0
PsNCR61_cluster18156	52	0	0
PsNCR77_cluster15370	1	13	0
PsNCR78_cluster34422	1	7	0
PsNCR80_cluster42323	2	4	0
PsNCR84_cluster24294	3	0	0
PsNCR85_cluster32033	4	1	0
PsNCR87_cluster17597	16	0	0
PsNCR88_cluster37809	4	10	0
PsNCR91_cluster3178	27	4	0
PsNCR94_cluster7332	0	15	0
PsNCR98_cluster29265	1	8	0
PsNCR_cluster17595	0	9	0
PsNCR_cluster18425	12	0	0
PsNCR_cluster19517	2	15	1
PsNCR_cluster19536	1	12	0
PsNCR_cluster19596	2	17	0
PsNCR_cluster25472	14	0	0
PsNCR_cluster31867	1	5	0
PsNCR_cluster32048	5	1	0
PsNCR_cluster41662	0	3	0
PsNCR_cluster41727	0	2	0
PsNCR_cluster6944	3	13	1
Def_Ps1843	0	0	13
Def_Medsa57918	0	0	2
Def_Medtr56381	0	0	2
Def_Medtr29326	0	0	4
Def_Medtr18846	0	0	6
Def_Medtr31450	0	0	4
Def_AsEv15760	0	0	4
Def_ArHy24045	0	0	4
Def_Medsa30971	0	0	3
Def_Ps24539	0	0	5
Def_Medsa40524	0	0	2
Def_Medtr40566	0	0	3
Def_ArHy35045	0	0	3
Def_ArHy15125	0	0	8
Def_Medtr37443	0	0	3
Def_ArHy19835	0	0	6
Def_Indigo	0	0	1
Def_Medsa28782	0	0	4
Def_ArHy24250	0	0	5
Def_Ps34326	0	0	3
Def_Medsa37326	0	0	3
Def_Ps21868	0	0	5
Def_Medtr32174	0	0	4
Def_Medsa29978	0	0	4
Def_Medsa40742	0	0	3
Def_Medsa57090	0	0	2
Def_Medsa25669	0	0	5
Def_LupAl6	0	0	1
Def_LupAl5	0	0	1
Def_LupAl4	0	0	1
Def_Medsa42161	0	0	3
Def_AsEv11844	0	0	8
Def_Medtr56841	0	0	1
Def_LupAl1	0	0	1
Def_LupAl3	0	0	1
Def_LupAl2	0	0	1
Def_CicerAr21529	0	0	5
Def_AsEv21476	0	0	6
Def_Medsa20544	0	0	7
Def_Medtr21886	0	0	3
Def_Medsa46495	0	0	2
Def_Medtr45913	0	0	2
Def_Ps24657	0	0	5
Def_Indigo	0	0	1
