DATASET_GRADIENT

SEPARATOR SPACE
MtNCRnew50_cluster51094 9.153
MtNCRnew53_cluster29672 7.674
MtNCRnew61_cluster37684 7.587
MtNCRnew68_cluster52633 8.529
MtNCRnew69_cluster28872 7.637
MtNCRnew85_cluster33109 5.613
pdb103 6.429
pdb11543 6.823
pdb11767 5.899
pdb12150 7.038
pdb13459 5.906
pdb13923 7.381
pdb16743 4.533
pdb17078 8.318
pdb17801 4.418
pdb18451 7.015
pdb18523 6.570
pdb18944 6.800
pdb20626 6.506
pdb22607 8.421
pdb23177 5.575
pdb24940 5.232
pdb27372 4.902
pdb29397 6.171
pdb29484 6.124
pdb35303 5.518
pdb41077 6.032
pdb41133 3.471
pdb51216 5.492
pdb51670 6.152
pdb51752 5.729
pdb52040 5.951
pdb55957 7.300
PsNCR03_cluster41932 6.641
PsNCR101_cluster42876 5.797
PsNCR108_cluster42785 5.857
PsNCR118_cluster42871 5.781
PsNCR11_cluster3649 5.158
PsNCR120_cluster41484 6.223
PsNCR126_cluster18297 6.792
PsNCR127_cluster928 7.003
PsNCR14_cluster42735 4.890
PsNCR150_cluster12410 7.381
PsNCR154_cluster19428 7.445
PsNCR156_cluster18581 7.023
PsNCR157_cluster34654 5.194
PsNCR158_cluster33014 5.182
PsNCR159_cluster34635 5.100
PsNCR161_cluster17830 5.901
PsNCR162_cluster24548 7.740
PsNCR164_cluster45286 5.698
PsNCR166_cluster41193 6.443
PsNCR171_cluster32960 6.958
PsNCR178_cluster41218 5.851
PsNCR179_cluster12885 5.807
PsNCR17_cluster23667 5.032
PsNCR18_cluster2791 5.388
PsNCR190_cluster32589 4.936
PsNCR193_cluster7769 6.631
PsNCR195_cluster41703_sing 7.324
PsNCR201_cluster18799 6.822
PsNCR219_cluster41196 6.750
PsNCR225_cluster1457 7.533
PsNCR228_cluster15179 6.181
PsNCR229_cluster22226 7.834
PsNCR22_cluster29088 3.852
PsNCR236_cluster41409_sing 7.641
PsNCR241_cluster42743 7.914
PsNCR245_cluster41461 7.001
PsNCR249_cluster41648 8.319
PsNCR252_cluster41202 7.753
PsNCR259_cluster16951 6.433
PsNCR26_cluster14970 5.946
PsNCR278_cluster41407 8.190
PsNCR282_cluster41129 6.944
PsNCR294_cluster24914 7.878
PsNCR300_cluster1829 7.352
PsNCR301_cluster4255 7.406
PsNCR306_cluster18368 7.332
PsNCR308_cluster1759 8.033
PsNCR30_cluster32358 7.982
PsNCR311_cluster41214 7.444
PsNCR316_cluster31963 8.472
PsNCR318_cluster41648 8.319
PsNCR31_cluster41726 5.041
PsNCR323_cluster769 8.466
PsNCR32_cluster25868 7.838
PsNCR334_cluster19510 8.003
PsNCR335_Cluster6897 8.251
PsNCR341_cluster2527 8.114
PsNCR351_cluster37653 7.305
PsNCR35_cluster5063 6.623
PsNCR53_cluster18580 7.788
PsNCR59_cluster41876 4.958
PsNCR60_cluster41992 5.656
PsNCR61_cluster18156 5.725
PsNCR77_cluster15370 5.212
PsNCR78_cluster34422 5.721
PsNCR80_cluster42323 5.897
PsNCR84_cluster24294 4.884
PsNCR85_cluster32033 6.108
PsNCR87_cluster17597 5.937
PsNCR88_cluster37809 6.068
PsNCR91_cluster3178 5.516
PsNCR94_cluster7332 6.773
PsNCR98_cluster29265 6.429
PsNCR_cluster17595 3.825
PsNCR_cluster18425 5.108
PsNCR_cluster19517 8.073
PsNCR_cluster19536 7.498
PsNCR_cluster19596 5.638
PsNCR_cluster25472 5.780
PsNCR_cluster31867 7.440
PsNCR_cluster32048 5.243
PsNCR_cluster41662 4.447
PsNCR_cluster41727 4.950
PsNCR_cluster6944 7.391
Def_Ps1843 5.992
Def_Medsa57918 4.290
Def_Medtr56381 6.031
Def_Medtr29326 6.405
Def_Medtr18846 7.576
Def_Medtr31450 4.704
Def_AsEv15760 6.473
Def_ArHy24045 6.062
Def_Medsa30971 7.458
Def_Ps24539 4.554
Def_Medsa40524 6.511
Def_Medtr40566 7.134
Def_ArHy35045 6.565
Def_ArHy15125 6.980
Def_Medtr37443 7.678
Def_ArHy19835 7.216
Def_Indigo 7.245
Def_Medsa28782 5.352
Def_ArHy24250 8.059
Def_Ps34326 8.707
Def_Medsa37326 7.263
Def_Ps21868 3.978
Def_Medtr32174 4.366
Def_Medsa29978 4.530
Def_Medsa40742 7.522
Def_Medsa57090 7.728
Def_Medsa25669 8.361
Def_LupAl6 4.38
Def_LupAl5 7.46
Def_LupAl4 9.96
Def_Medsa42161 7.759
Def_AsEv11844 7.758
Def_Medtr56841 8.374
Def_LupAl1 9.41
Def_LupAl3 8.99
Def_LupAl2 8.20
Def_CicerAr21529 8.322
Def_AsEv21476 8.945
Def_Medsa20544 8.166
Def_Medtr21886 8.734
Def_Medsa46495 8.175
Def_Medtr45913 7.978
Def_Ps24657 6.479


